,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,count_sim,facet_blocks
125,sim_par_1,150,150,300,0.25,grid,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.001677036030063639,100,"sim_par_1, pi_target = 0.25"
126,sim_par_1,150,150,300,0.25,grid,ipr,V,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_V_grid_laplacian,0.0020656309142723754,100,"sim_par_1, pi_target = 0.25"
127,sim_par_1,150,150,300,0.25,grid,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.0016249859984720928,100,"sim_par_1, pi_target = 0.25"
128,sim_par_1,150,150,300,0.25,numerical,ipr,U,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_laplacian,0.001790731744141034,100,"sim_par_1, pi_target = 0.25"
129,sim_par_1,150,150,300,0.25,numerical,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.001669074014387329,100,"sim_par_1, pi_target = 0.25"
130,sim_par_1,150,150,300,0.25,numerical,ipr,V,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_laplacian,0.0021489063459140343,100,"sim_par_1, pi_target = 0.25"
131,sim_par_1,150,150,300,0.25,numerical,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.0016109909390382205,100,"sim_par_1, pi_target = 0.25"
132,sim_par_1,150,150,300,0.25,one_over_p,ipr,U,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_laplacian,0.001809086760778095,100,"sim_par_1, pi_target = 0.25"
133,sim_par_1,150,150,300,0.25,one_over_p,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_rbf,0.0019081348809972917,100,"sim_par_1, pi_target = 0.25"
134,sim_par_1,150,150,300,0.25,one_over_p,ipr,V,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_laplacian,0.0017142561423548121,100,"sim_par_1, pi_target = 0.25"
135,sim_par_1,150,150,300,0.25,one_over_p,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_rbf,0.001824686469777077,100,"sim_par_1, pi_target = 0.25"
