,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
282,sim_par_4,200,200,400,0.25,one_over_p,ipr,U,rbf,400,n_target=n_source,5,Gaussian,ipr_U_one_over_p_rbf,0.0013912759682738996,"p = 5, sim_par_4, pi_target = 0.25"
285,sim_par_4,200,200,400,0.25,one_over_p,ipr,V,rbf,400,n_target=n_source,5,Gaussian,ipr_V_one_over_p_rbf,0.0012983439173492445,"p = 5, sim_par_4, pi_target = 0.25"
288,sim_par_4,200,200,400,0.25,one_over_p,nrm,U,rbf,400,n_target=n_source,5,Gaussian,nrm_U_one_over_p_rbf,0.001784463899929524,"p = 5, sim_par_4, pi_target = 0.25"
291,sim_par_4,200,200,400,0.25,one_over_p,nrm,V,rbf,400,n_target=n_source,5,Gaussian,nrm_V_one_over_p_rbf,0.0030429500845422707,"p = 5, sim_par_4, pi_target = 0.25"
336,sim_par_4,250,250,500,0.25,bootstrap_mse,ipr,U,rbf,500,n_target=n_source,5,Gaussian,ipr_U_bootstrap_mse_rbf,0.0010034002782905677,"p = 5, sim_par_4, pi_target = 0.25"
339,sim_par_4,250,250,500,0.25,bootstrap_mse,ipr,V,rbf,500,n_target=n_source,5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0009678001733717612,"p = 5, sim_par_4, pi_target = 0.25"
342,sim_par_4,250,250,500,0.25,bootstrap_var,ipr,U,rbf,500,n_target=n_source,5,Gaussian,ipr_U_bootstrap_var_rbf,0.001065626581091107,"p = 5, sim_par_4, pi_target = 0.25"
345,sim_par_4,250,250,500,0.25,bootstrap_var,ipr,V,rbf,500,n_target=n_source,5,Gaussian,ipr_V_bootstrap_var_rbf,0.0010312421342993467,"p = 5, sim_par_4, pi_target = 0.25"
348,sim_par_4,250,250,500,0.25,distance,ipr,U,rbf,500,n_target=n_source,5,Gaussian,ipr_U_distance_rbf,0.0010833367134864057,"p = 5, sim_par_4, pi_target = 0.25"
351,sim_par_4,250,250,500,0.25,distance,ipr,V,rbf,500,n_target=n_source,5,Gaussian,ipr_V_distance_rbf,0.0010213996711602182,"p = 5, sim_par_4, pi_target = 0.25"
354,sim_par_4,250,250,500,0.25,grid,ipr,U,rbf,500,n_target=n_source,5,Gaussian,ipr_U_grid_rbf,0.0009867096119256578,"p = 5, sim_par_4, pi_target = 0.25"
357,sim_par_4,250,250,500,0.25,grid,ipr,V,rbf,500,n_target=n_source,5,Gaussian,ipr_V_grid_rbf,0.0009602168359328584,"p = 5, sim_par_4, pi_target = 0.25"
360,sim_par_4,250,250,500,0.25,numerical,ipr,U,rbf,500,n_target=n_source,5,Gaussian,ipr_U_numerical_rbf,0.0009908147412872603,"p = 5, sim_par_4, pi_target = 0.25"
363,sim_par_4,250,250,500,0.25,numerical,ipr,V,rbf,500,n_target=n_source,5,Gaussian,ipr_V_numerical_rbf,0.0009583767540567673,"p = 5, sim_par_4, pi_target = 0.25"
366,sim_par_4,250,250,500,0.25,one_over_p,ipr,U,rbf,500,n_target=n_source,5,Gaussian,ipr_U_one_over_p_rbf,0.0011189084490144828,"p = 5, sim_par_4, pi_target = 0.25"
369,sim_par_4,250,250,500,0.25,one_over_p,ipr,V,rbf,500,n_target=n_source,5,Gaussian,ipr_V_one_over_p_rbf,0.001061033726752322,"p = 5, sim_par_4, pi_target = 0.25"
372,sim_par_4,250,250,500,0.25,one_over_p,nrm,U,rbf,500,n_target=n_source,5,Gaussian,nrm_U_one_over_p_rbf,0.0013928557267451395,"p = 5, sim_par_4, pi_target = 0.25"
375,sim_par_4,250,250,500,0.25,one_over_p,nrm,V,rbf,500,n_target=n_source,5,Gaussian,nrm_V_one_over_p_rbf,0.002205359913255586,"p = 5, sim_par_4, pi_target = 0.25"
1,sim_par_4,50,50,100,0.25,bootstrap_mse,ipr,U,rbf,100,n_target=n_source,10,Gaussian,ipr_U_bootstrap_mse_rbf,0.003982780208517698,"p = 10, sim_par_4, pi_target = 0.25"
4,sim_par_4,50,50,100,0.25,bootstrap_mse,ipr,V,rbf,100,n_target=n_source,10,Gaussian,ipr_V_bootstrap_mse_rbf,0.00400229814447725,"p = 10, sim_par_4, pi_target = 0.25"
7,sim_par_4,50,50,100,0.25,bootstrap_var,ipr,U,rbf,100,n_target=n_source,10,Gaussian,ipr_U_bootstrap_var_rbf,0.004212698731754377,"p = 10, sim_par_4, pi_target = 0.25"
10,sim_par_4,50,50,100,0.25,bootstrap_var,ipr,V,rbf,100,n_target=n_source,10,Gaussian,ipr_V_bootstrap_var_rbf,0.0036106799194709953,"p = 10, sim_par_4, pi_target = 0.25"
13,sim_par_4,50,50,100,0.25,distance,ipr,U,rbf,100,n_target=n_source,10,Gaussian,ipr_U_distance_rbf,0.004196913252303369,"p = 10, sim_par_4, pi_target = 0.25"
16,sim_par_4,50,50,100,0.25,distance,ipr,V,rbf,100,n_target=n_source,10,Gaussian,ipr_V_distance_rbf,0.003709224027514857,"p = 10, sim_par_4, pi_target = 0.25"
