,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
74,sim_par_1,150,150,200,0.25,numerical,ipr,V,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_V_numerical_rbf,0.03045371156437005,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
75,sim_par_1,150,150,200,0.25,numerical,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.002530392468555796,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
76,sim_par_1,150,150,200,0.25,one_over_p,ipr,U,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_U_one_over_p_rbf,0.012957369328524189,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
77,sim_par_1,150,150,200,0.25,one_over_p,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_rbf,0.0029409505324595867,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
78,sim_par_1,150,150,200,0.25,one_over_p,ipr,V,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_V_one_over_p_rbf,0.014758013777809791,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
79,sim_par_1,150,150,200,0.25,one_over_p,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_rbf,0.0026695949180670507,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
80,sim_par_1,150,150,200,0.25,one_over_p,nrm,U,rbf,200,"n_target, n_source=300",5,Cauchy,nrm_U_one_over_p_rbf,0.02653882001673705,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
81,sim_par_1,150,150,200,0.25,one_over_p,nrm,U,rbf,200,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_rbf,0.004205480925573658,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
82,sim_par_1,150,150,200,0.25,one_over_p,nrm,V,rbf,200,"n_target, n_source=300",5,Cauchy,nrm_V_one_over_p_rbf,0.19889144066184933,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
83,sim_par_1,150,150,200,0.25,one_over_p,nrm,V,rbf,200,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_rbf,0.006536196855045201,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
112,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,U,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_U_bootstrap_mse_rbf,0.015819220423799542,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
113,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.001615825604492574,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
114,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,V,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_V_bootstrap_mse_rbf,0.008885900835675815,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
115,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0017478029007601795,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
116,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,U,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_U_bootstrap_var_rbf,0.01577916283606482,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
117,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.0017824791445910876,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
118,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,V,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_V_bootstrap_var_rbf,0.00890033673223162,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
119,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.0021748812277347673,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
120,sim_par_1,150,150,300,0.25,distance,ipr,U,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_U_distance_rbf,0.02016875998692121,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
121,sim_par_1,150,150,300,0.25,distance,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.001888170656549809,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
122,sim_par_1,150,150,300,0.25,distance,ipr,V,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_V_distance_rbf,0.09800731319543297,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
123,sim_par_1,150,150,300,0.25,distance,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.0017351827966983829,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
124,sim_par_1,150,150,300,0.25,grid,ipr,U,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_U_grid_rbf,0.013750625512047728,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
125,sim_par_1,150,150,300,0.25,grid,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.001677036030063639,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
126,sim_par_1,150,150,300,0.25,grid,ipr,V,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_V_grid_rbf,0.00890033673223162,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
127,sim_par_1,150,150,300,0.25,grid,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.0016249859984720928,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
128,sim_par_1,150,150,300,0.25,numerical,ipr,U,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_U_numerical_rbf,0.00977320602009333,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
129,sim_par_1,150,150,300,0.25,numerical,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.001669074014387329,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
130,sim_par_1,150,150,300,0.25,numerical,ipr,V,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_V_numerical_rbf,0.030949479160437273,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
131,sim_par_1,150,150,300,0.25,numerical,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.0016109909390382205,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
132,sim_par_1,150,150,300,0.25,one_over_p,ipr,U,rbf,300,"n_target, n_source=300",5,Cauchy,ipr_U_one_over_p_rbf,0.012526392430582695,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
