beta,n_plus,n_minus,n_target,pi_target,p,seed,pi_nmr_u,pi_ipr_u,pi_nmr_v,pi_ipr_v,var_plug-in,var_explicit,var_plug-in_target,var_plug-in_plus,var_plug-in_minus,r_n,lambda_target,lambda_plus,lambda_minus,var_explicit_target,var_explicit_plus,var_explicit_minus
0.5,500,500,500,0.1,5,29,0.0,0.058814880401812986,0.11100771693907016,0.06734087744950468,0.5230439628642239,0.4999701357244764,0.0011776249234260745,9.479448479680161e-06,0.001009688914229075,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0011447176134758985,-2.2158996144328036e-05,0.0009773242135741045
0.5,500,500,500,0.1,5,30,0.17381908825626086,0.19661687566359148,0.216939320904978,0.2021064752650642,0.4569991167040557,0.43723324623233817,0.001286286008977286,4.2996034284072366e-05,0.000802992783529889,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001254717449265641,1.2984129432624947e-05,0.0007723492885798322
0.5,500,500,500,0.1,5,31,0.0,0.058372787528519376,0.11078188407573661,0.06689541091163198,0.5617463344881467,0.5387045044116923,0.0013669316033636644,1.1720245317610648e-05,0.0010176191375927107,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001333948571817234,-2.071804238990005e-05,0.0009847497062124289
0.5,500,500,500,0.1,5,32,0.07169822561721938,0.10955003880128583,0.14636873447033422,0.11599527567667756,0.43029684244154676,0.41253762071701533,0.0013144181603124436,2.5450954413208196e-05,0.001026799839089166,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012814581552563764,-6.101410363612558e-06,0.000993634990421266
0.5,500,500,500,0.1,5,33,0.19245935010296308,0.1725944434971211,0.23096463402441622,0.1782030297355202,0.45678122688473716,0.4382838306426862,0.0014202305663859216,6.162655356646159e-05,0.0009242277138725097,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013874543856362553,2.9687303527592412e-05,0.0008915085261965716
0.5,500,500,500,0.1,5,34,0.13698070416969257,0.12389644449286896,0.1832115740467088,0.12966398887912217,0.418371342649819,0.4027696926976368,0.0015070706915672743,4.146202193377162e-05,0.0010819471572167147,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014738127890878694,8.629620374289715e-06,0.0010499432039164924
0.5,500,500,500,0.1,5,35,0.0,0.08285902671312773,0.12627114493247418,0.09056763296484777,0.5205859014699514,0.49767837208905624,0.0012756670484540265,1.852215327840958e-05,0.0008928261055647202,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012428455624151624,-1.3149011268365207e-05,0.0008610827319573966
0.5,500,500,500,0.1,5,36,0.23371829171121525,0.14925479164087796,0.26470920672427,0.15486115965432,0.47597038690844357,0.45764804976481754,0.0014961700621380749,8.822252533292211e-05,0.000879287822471728,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014640132109586812,5.6995684931671065e-05,0.0008478328763414922
0.5,500,500,500,0.1,5,37,0.13376423545934402,0.16596050465086643,0.18626956074957823,0.17158705246801564,0.4674699532649633,0.4486296583233016,0.0015071886609191807,4.0628809334292555e-05,0.0008459820536830763,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014740794536535207,9.84059417519223e-06,0.0008134029245194796
0.5,500,500,500,0.1,5,38,0.17013621943064458,0.1762555099529008,0.21551182165704028,0.18178873522540456,0.49213948701432253,0.47051575249692745,0.0012966951543049855,5.508052189108468e-05,0.0007161567983291948,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012654053295082512,2.5080800198806763e-05,0.0006865850666462059
0.5,500,500,500,0.1,5,39,0.1880833064668992,0.20437221026226854,0.22492442407145588,0.20883166395030117,0.39191418477439494,0.3755168093282162,0.0014869872762010498,5.800421420701103e-05,0.0008807080156508815,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014520887891324996,2.4598780570150858e-05,0.0008475226127602209
